latitude,longitude,area_in_meters,confidence,geometry,full_plus_code,tile_id
-11.93642117,-75.25633142,49.2657,0.7546,"POLYGON((-75.2562988048586 -11.9364729409736, -75.2563304730231 -11.936360262724, -75.2563640450008 -11.9363694113973, -75.2563323768513 -11.9364820896515, -75.2562988048586 -11.9364729409736))",57W63P7V+CFM3,911
-11.89622668,-75.26969606,19.6527,0.7134,"POLYGON((-75.2696672193771 -11.8962265864406, -75.2696925547546 -11.8961985016879, -75.2697248788821 -11.8962267838324, -75.2696995435049 -11.8962548685877, -75.2696672193771 -11.8962265864406))",57W64P3J+G43W,911
-11.93178099,-75.26544327,49.1537,0.8053,"POLYGON((-75.2654042942238 -11.9318051850971, -75.2654285007153 -11.9317380237133, -75.2654822320844 -11.9317568018978, -75.2654580256046 -11.9318239632858, -75.2654042942238 -11.9318051850971))",57W63P9M+7RMQ,911
-11.92200335,-75.2495749,37.1955,0.7792,"POLYGON((-75.2495349568244 -11.9220051185704, -75.2495645471539 -11.9219653215378, -75.2496148415916 -11.9220015845866, -75.2495852512661 -11.9220413816243, -75.2495349568244 -11.9220051185704))",57W63QH2+55VW,911
-11.93638426,-75.25732507,54.1357,0.6967,"POLYGON((-75.2572817047868 -11.9364073056417, -75.2572878953069 -11.93635241281, -75.2573684271182 -11.9363612187777, -75.2573622366141 -11.9364161116107, -75.2572817047868 -11.9364073056417))",57W63P7V+C3VP,911
-11.91026959,-75.26204264,12.2362,0.6844,"POLYGON((-75.2620244666302 -11.9102830817086, -75.2620315997118 -11.9102499866318, -75.2620608430401 -11.9102560992015, -75.2620537099619 -11.9102891942788, -75.2620244666302 -11.9102830817086))",57W63PQQ+V5W8,911
-11.92383576,-75.2477956,12.7631,0.6981,"POLYGON((-75.247775651775 -11.9238475760079, -75.2477867285302 -11.9238145679028, -75.2478155441572 -11.923823944804, -75.2478044674051 -11.9238569529104, -75.247775651775 -11.9238475760079))",57W63QG2+FV8G,911
-11.93900454,-75.26271816,79.7141,0.7043,"POLYGON((-75.2626676943857 -11.9390363771977, -75.2626852549548 -11.9389623135037, -75.2627354820332 -11.9389738602898, -75.2627403566383 -11.9389533010654, -75.2627670839193 -11.9389594454402, -75.2627446487669 -11.9390540683633, -75.2626676943857 -11.9390363771977))",57W63P6P+9WVR,911
-11.93696488,-75.25855703,157.6067,0.8164,"POLYGON((-75.2584787570421 -11.9369926209217, -75.2585071134008 -11.9368993458196, -75.2586353051665 -11.9369371327198, -75.2586069488485 -11.9370304078369, -75.2584787570421 -11.9369926209217))",57W63P7R+6H8C,911
-11.93650014,-75.2610617,81.4134,0.7779,"POLYGON((-75.261004813862 -11.936515532692, -75.2610355615757 -11.9364480577189, -75.2611185864456 -11.9364847416988, -75.2610878387487 -11.9365522166804, -75.261004813862 -11.936515532692))",57W63P7Q+9HWR,911
